Gender,Sports,Music,Video Games,Red LED - Average (in ms),Red LED - Standard Deviation (in ms),Red LED - The number of trials (like 100),Buzzer - Average (in ms),Buzzer - Standard Deviation (in ms),Buzzer - The number of trials,2 color LED - Average (in ms),2 color LED - Standard Deviation (in ms),2 color LED - The number of trials,3 color LED - Average (in ms),3 color LED - Standard Deviation (in ms),3 color LED - The number of trials
1,1,3,0,232.39,52.92,51,208.28,87.58,78,343.01,131.01,179,429.99,111.47,190
1,2,1,0,203.71,59.776,100,180.336,92.993,100,398.792,144.968,104,610.352,168.911,104
1,5,1,0,228,50,100,202,51,100,369,110,100,572,244,100
1,3,2,0,226.6,45.1,100,193.2,53.5,100,458.5,141.5,100,612.7,224.4,100
1,2,1,0,203.17,23.32,53,170.65,18.39,55,276.53,65.8,140,389.33,117.45,130
1,2,4,0,215.52,36.25,101,214.32,51.43,102,350.53,143.5,105,420.43,157.25,100
1,3,1,0,226,84.6,65,197,82.9,72,431,156,112,554,182,131
1,4,4,0,221,67.43,100,225,68.48,100,523,159,100,678,265,100
2,1,3,0,240.2053,54.38845,302,202.6272,62.48349,338,486.6045,176.7954,268,589.6798,254.2962,178
1,3,1,0,216,48.5,104,199.2,46.5,104,457.8,123.5,100,590.2,152.6,100
1,3,2,0,221,39,107,197,49,104,362,88,107,514,139,108
2,1,1,0,235.57,35.253,100,216.85,44.305,102,477.86,88.442,113,615.65,139.87,112
2,4,5,0,200.5,40.8,113,153.7,24.2,107,333.7,102.5,120,480.4,159.8,106
1,4,3,0,206.9449541,66.33662208,113,220.8053097,55.60191287,109,206.945,66.6,109,545,203.7,110
2,3,1,0,242,81,150,185,53,150,194,220,150,217,236,150
1,2,2,0,227,73.9,119,192,70.5,104,449,119,121,597,183,108
1,3,4,0,276.95,103.44,100,212.3,72.5,100,356.8,133.12,100,550.6,180.57,100
1,3,1,0,219.54,55.35,104,172.05,45.49,109,426.08,114.39,117,530.13,139.69,119
1,4,5,0,277,117,100,240,70,117,320,84,113,433,108,110
1,1,4,0,221,64,95,219,59,105,395,129,100,415,162,116
1,1,4,0,221,64,95,219,59,105,395,129,100,415,162,116
1,1,1,0,219.12,58,103,249.9,93.69,104,315.24,76.71,102,412.5,108.74,130
1,1,1,0,191.79,54.1,100,210.18,57.86,100,340.27,117.7,100,483,159.9,100
1,3,5,0,163.3,55.49,87,159.6,58.2,87,277.79,84.2,111,354.4,120.9,122
1,4,5,0,195,60,120,176,54,105,371,186,110,609,381,112
1,3,2,0,243,75.6,122,213.5,66.3,129,401.3,132.9,122,490.2,178.9,122
1,5,1,0,278.14,265.84,114,195.13,55.18,114,447.1,192.17,103,548.4,155.59,103
1,1,1,0,182.5,35.4,102,162.5,33.6,102,324.8,77.6,101,448.1,100.6,101
1,2,1,0,255.14,115.7170705,100,148,19.53419836,53,303.8055556,118.5184357,108,439.0571429,202.8889834,140
1,5,2,0,235,46,139,245,49,91,345,101,139,469,118,139
1,4,5,0,194,32,70,184,44,75,384,143,100,497,162,100
1,2,5,0,193.91,27.38,100,150.18,30.39,100,154.97,162.401,108,215.6,162.4,115
1,2,3,0,210.809,57.924,136,162.567,49.775,67,398.761,96.245,117,566.822,197.879,118
1,4,1,0,181.2,48.8,100,169.6,57.5,100,420.9,137.8,100,571.7,290.2,100
2,2,2,0,224.02,48.08,100,194.84,46.05,100,397.26,118,135,468.57,126.64,114
2,5,1,0,221.25,21.19,97,177.74,21.58,101,426.51,170.68,100,476.98,172.07,100
1,1,5,0,214,51,163,194,59,218,371,111,113,477,124,121
2,1,1,0,288.35,45.67,100,308.8,37.8,100,356.22,119.43,100,565.33,220.87,100
2,2,2,0,206.72,30.91,116,175.62,37.23,106,351.18,108.59,118,471.27,109.11,250
1,4,1,0,213.9,45,100,170.7,43.7,100,587.2,284.7,100,663.1,195,100
1,5,2,0,184.37,21.26,90,163.51,21.26,88,350.92,109.96,158,503.2,186.13,136
2,3,1,0,186.94,23.32,115,158.6,22.71,103,280.81,40.99,102,374.11,65.94,106
